slug	mcp_url	initialize_status	protected_resource_status	auth_server	dcr	notes
typeform	https://api.typeform.com/mcp	401	200 (https://api.typeform.com/.well-known/oauth-protected-resource)	https://api.typeform.com	yes (https://api.typeform.com/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://api.typeform.com/.well-known/oauth-protected-resource" scope="accounts:read automations:read automations:wri
udemy	https://api.udemy.com/mcp	401	200 (https://api.udemy.com/.well-known/oauth-protected-resource/mcp)	https://api.udemy.com	yes (https://api.udemy.com/auth/external/oidc/dynamic-client/register)	www-auth: www-authenticate: Bearer realm="https://api.udemy.com/mcp", resource_metadata_url="https://api.udemy.com/.well-known/oauth-protected-resource/mcp"
unthread	https://app.unthread.io/api/mcp	401	200 (https://app.unthread.io/.well-known/oauth-protected-resource/api/mcp)	https://app.unthread.io	yes (https://app.unthread.io/api/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://app.unthread.io/.well-known/oauth-protected-resource/api/mcp"
vanta	https://mcp.vanta.com/mcp	401	200 (https://mcp.vanta.com/.well-known/oauth-protected-resource)	https://mcp.vanta.com	yes (https://api.vanta.com/oauth/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Missing Authorization header", scope="mcp-api.all:read mcp-api.all:write", resource_metadata=
vitally	https://mcp.vitally.io/mcp	404	404	none	n/a	
wix	https://mcp.wix.com/mcp	401	200 (https://mcp.wix.com/.well-known/oauth-protected-resource)	https://mcp.wix.com	yes (https://mcp.wix.com/register)	www-auth: www-authenticate: Bearer realm="OAuth", resource_metadata="https://mcp.wix.com/.well-known/oauth-protected-resource", error="invalid_token", error_description="
wordpress	https://public-api.wordpress.com/wpcom/v2/mcp/v1	401	200 (https://public-api.wordpress.com/.well-known/oauth-protected-resource)	https://public-api.wordpress.com	yes (https://public-api.wordpress.com/oauth2-1/register)	www-auth: www-authenticate: Bearer resource_metadata="https://public-api.wordpress.com/.well-known/oauth-protected-resource?resource=wpcom/v2/mcp/v1"
workable	https://mcp.workable.com/mcp	401	200 (https://mcp.workable.com/.well-known/oauth-protected-resource)	https://mcp.workable.com	yes (https://mcp.workable.com/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.workable.com/.well-known/oauth-protected-resource", scope="r_candidates w_candidates r_jobs w_jobs r_off
workos	https://mcp.workos.com/mcp	401	200 (https://mcp.workos.com/.well-known/oauth-protected-resource/mcp)	https://signin.workos.com	yes (https://signin.workos.com/oauth2/register)	www-auth: www-authenticate: Bearer error="unauthorized", error_description="Authorization needed", resource_metadata="https://mcp.workos.com/.well-known/oauth-protected-r
wrike	https://mcp.wrike.com/mcp	404	404	none	n/a	
xero	https://mcp.xero.com/mcp	401	200 (https://mcp.xero.com/.well-known/oauth-protected-resource/mcp)	https://identity.xero.com/	no	www-auth: www-authenticate: Bearer realm="https://mcp.xero.com/mcp"
zapier	https://mcp.zapier.com/api/mcp/mcp	401	200 (https://mcp.zapier.com/.well-known/oauth-protected-resource/api/mcp/mcp)	https://mcp.zapier.com	yes (https://mcp.zapier.com/api/v1/oauth/register)	www-auth: www-authenticate: Bearer realm="Zapier MCP", error="invalid_token"
zendesk-api	https://mcp.zendesk.com/api/mcp	401	200 (https://mcp.zendesk.com/.well-known/oauth-protected-resource/api/mcp)	https://mcp.zendesk.com/api/mcp/oauth	yes (https://mcp.zendesk.com/api/mcp/oauth/register)	
zendesk-sse	https://mcp.zendesk.com/sse	404	301	none	n/a	
zendesk	https://mcp.zendesk.com/mcp	404	301	none	n/a	
ziprecruiter	https://api.ziprecruiter.com/mcp	200	404	none	n/a	
zoominfo	https://mcp.zoominfo.com/mcp	401	200 (https://mcp.zoominfo.com/.well-known/oauth-protected-resource)	https://mcp.zoominfo.com	yes (https://mcp.zoominfo.com/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.zoominfo.com/.well-known/oauth-protected-resource"
