slug	mcp_url	initialize_status	protected_resource_status	auth_server	dcr	notes
harvey	https://api.harvey.ai/hosted_mcp/mcp	401	200 (https://api.harvey.ai/.well-known/oauth-protected-resource)	https://api.harvey.ai	no	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication required", resource_metadata="https://api.harvey.ai/.well-known/oauth-protecte
helpscout2	https://mcp.helpscout.net/mcp	401	200 (https://mcp.helpscout.net/.well-known/oauth-protected-resource/mcp)	https://mcp.helpscout.net	yes (https://mcp.helpscout.net/oauth/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="No authorization provided", resource_metadata="https://mcp.helpscout.net/.well-known/oauth-pr
helpscout	https://mcp-beta.helpscout.net/mcp	401	200 (https://mcp-beta.helpscout.net/.well-known/oauth-protected-resource/mcp)	https://mcp-beta.helpscout.net	yes (https://mcp-beta.helpscout.net/oauth/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="No authorization provided", resource_metadata="https://mcp-beta.helpscout.net/.well-known/oau
heroku	https://mcp.heroku.com/mcp	401	200 (https://mcp.heroku.com/.well-known/oauth-protected-resource)	https://mcp.heroku.com	yes (https://mcp.heroku.com/reg)	www-auth: Www-Authenticate: Bearer error="invalid_token", error_description="Missing Authorization header"
honeycomb	https://mcp.honeycomb.io/mcp	401	200 (https://mcp.honeycomb.io/.well-known/oauth-protected-resource/mcp)	https://ui.honeycomb.io	yes (https://ui.honeycomb.io/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.honeycomb.io/.well-known/oauth-protected-resource"
huggingface	https://huggingface.co/mcp	200	200 (https://huggingface.co/.well-known/oauth-protected-resource/mcp)	https://huggingface.co	yes (https://huggingface.co/oauth/register)	
hunter	https://mcp.hunter.io/mcp	401	200 (https://mcp.hunter.io/.well-known/oauth-protected-resource)	https://hunter.io	yes (https://hunter.io/oauth/register)	
ifttt	https://ifttt.com/mcp	401	200 (https://ifttt.com/.well-known/oauth-protected-resource)	https://ifttt.com	yes (https://ifttt.com/oauth/register)	www-auth: www-authenticate: Bearer realm="mcp", resource_metadata="https://ifttt.com/.well-known/oauth-protected-resource", scope="mcp"
incidentio	https://mcp.incident.io/mcp	401	200 (https://mcp.incident.io/.well-known/oauth-protected-resource/mcp)	https://mcp.incident.io/mcp	yes (https://mcp.incident.io/mcp/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.incident.io/mcp/.well-known/oauth-protected-resource"
indeed	https://mcp.indeed.com/claude/mcp	401	200 (https://mcp.indeed.com/.well-known/oauth-protected-resource/claude/mcp)	https://secure.indeed.com/	yes (https://secure.indeed.com/oauth/v2/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication required", resource_metadata="https://mcp.indeed.com/.well-known/oauth-protect
instantdb	https://mcp.instantdb.com/mcp	401	200 (https://mcp.instantdb.com/.well-known/oauth-protected-resource/mcp)	https://mcp.instantdb.com/	yes (https://mcp.instantdb.com/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Missing Authorization header", resource_metadata="https://mcp.instantdb.com/.well-known/oauth
instantly	https://mcp.instantly.ai/mcp	401	200 (https://mcp.instantly.ai/.well-known/oauth-protected-resource)	https://api.instantly.ai	yes (https://api.instantly.ai/oauth/register)	www-auth: www-authenticate: Bearer realm="instantly-mcp", resource_metadata="https://mcp.instantly.ai/.well-known/oauth-protected-resource"
intuit	https://mcp.intuit.com/mcp	403	403	none	n/a	
ironclad-check	https://mcp.na1.ironcladapp.com/mcp	401	200 (https://mcp.na1.ironcladapp.com/.well-known/oauth-protected-resource)	https://ironcladapp.com	no	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.na1.ironcladapp.com/.well-known/oauth-protected-resource"
ironclad	https://mcp.na1.ironcladapp.com/mcp	401	200 (https://mcp.na1.ironcladapp.com/.well-known/oauth-protected-resource)	https://ironcladapp.com	no	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.na1.ironcladapp.com/.well-known/oauth-protected-resource"
iterable	https://mcp.iterable.com/mcp	ERR	ERR	none	n/a	
jam	https://mcp.jam.dev/mcp	401	200 (https://mcp.jam.dev/.well-known/oauth-protected-resource)	https://api.jam.dev	yes (https://api.jam.dev/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.jam.dev/.well-known/oauth-protected-resource", scope="mcp:read mcp:write"
jotform	https://mcp.jotform.com/mcp-app	401	200 (https://mcp.jotform.com/.well-known/oauth-protected-resource/mcp-app)	https://oauth2.jotform.com	yes (https://oauth2.jotform.com/register-public-client)	
knock	https://mcp.knock.app/mcp	401	200 (https://mcp.knock.app/.well-known/oauth-protected-resource)	https://mcp.knock.app	yes (https://mcp.knock.app/register)	www-auth: www-authenticate: Bearer realm="OAuth", resource_metadata="https://mcp.knock.app/.well-known/oauth-protected-resource", error="invalid_token", error_description
krisp	https://mcp.krisp.ai/mcp	401	200 (https://mcp.krisp.ai/.well-known/oauth-protected-resource)	https://mcp.krisp.ai	yes (https://mcp.krisp.ai/.well-known/oauth-registration)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Missing or invalid access token", resource_metadata="https://mcp.krisp.ai/.well-known/oauth-p
kustomer	https://mcp.kustomer.com/mcp	ERR	ERR	none	n/a	
lattice	https://mcp.lattice.com/mcp	ERR	ERR	none	n/a	
launchdarkly	https://mcp.launchdarkly.com/mcp/launchdarkly	401	200 (https://mcp.launchdarkly.com/.well-known/oauth-protected-resource/mcp/launchdarkly)	https://mcp.launchdarkly.com/mcp/launchdarkly	yes (https://app.launchdarkly.com/trust/oauth/register/dcr)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.launchdarkly.com/.well-known/oauth-protected-resource/mcp/launchdarkly"
lemlist	https://mcp.lemlist.com/mcp	ERR	ERR	none	n/a	
lemonsqueezy	https://mcp.lemonsqueezy.com/mcp	405	404	none	n/a	
lever	https://mcp.lever.co/mcp	404	404	none	n/a	
loom	https://mcp.loom.com/mcp	ERR	ERR	none	n/a	
loops	https://mcp.loops.so/mcp	ERR	ERR	none	n/a	
lorikeet	https://api.lorikeetcx.ai/v1/mcp	401	200 (https://api.lorikeetcx.ai/.well-known/oauth-protected-resource)	https://api.lorikeetcx.ai	yes (https://api.lorikeetcx.ai/v1/oauth/mcp/register)	www-auth: www-authenticate: Bearer resource_metadata="https://api.lorikeetcx.ai/.well-known/oauth-protected-resource", scope="manage:read manage:write tickets:read custom
lovable	https://mcp.lovable.dev/	401	200 (https://mcp.lovable.dev/.well-known/oauth-protected-resource)	https://lovable.dev/oauth	yes (https://lovable.dev/oauth/register)	www-auth: www-authenticate: Bearer realm="mcp", resource_metadata="https://mcp.lovable.dev/.well-known/oauth-protected-resource"
lucid	https://mcp.lucid.app/mcp	401	200 (https://mcp.lucid.app/.well-known/oauth-protected-resource/mcp)	https://mcp.lucid.app	yes (https://mcp.lucid.app/oauth/register)	
lusha	https://mcp.lusha.com/mcp/claude	401	200 (https://mcp.lusha.com/.well-known/oauth-protected-resource/mcp/claude)	https://auth.lusha.com	yes (https://auth.lusha.com/oauth/register)	www-auth: www-authenticate: Bearer error="invalid_request", error_description="missing Authorization header", scope="mcp", resource_metadata="https://mcp.lusha.com/.well-
mailchimp	https://ai-inc.mailchimp.com/claude/mcp/v2	403	200 (https://ai-inc.mailchimp.com/.well-known/oauth-protected-resource/claude/mcp/v2)	https://ai-inc.mailchimp.com/claude	yes (https://ai-inc.mailchimp.com/claude/oauth/register)	
mailgun	https://mcp.mailgun.com/mcp	ERR	ERR	none	n/a	
make	https://mcp.make.com/mcp	404	200 (https://mcp.make.com/.well-known/oauth-protected-resource)	https://www.make.com/mcp	yes (https://www.make.com/oauth/v2/register/mcp)	
mem	https://mcp.mem.ai/mcp	401	200 (https://mcp.mem.ai/.well-known/oauth-protected-resource/mcp)	https://api.mem.ai	yes (https://api.mem.ai/oauth2/register)	www-auth: www-authenticate: Bearer realm="OAuth", resource_metadata="https://mcp.mem.ai/.well-known/oauth-protected-resource"
mercadopago	https://mcp.mercadopago.com/mcp	401	200 (https://mcp.mercadopago.com/.well-known/oauth-protected-resource/mcp)	https://mcp.mercadopago.com	yes (https://mcp.mercadopago.com/oauth/register)	
mercury	https://mcp.mercury.com/mcp	401	200 (https://mcp.mercury.com/.well-known/oauth-protected-resource)	https://mcp.mercury.com	yes (https://mcp.mercury.com/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Missing Authorization header"
mermaidchart	https://mcp.mermaid.ai/mcp	200	404	none	n/a	
mermaid	https://mcp.mermaid.ai/mcp	200	404	none	n/a	
metaview	https://mcp.metaview.ai/mcp	401	200 (https://mcp.metaview.ai/.well-known/oauth-protected-resource/mcp)	https://auth.metaview.ai/	yes (https://auth.metaview.ai/oauth2/register)	
mintlify	https://mcp.mintlify.com/mcp	401	200 (https://mcp.mintlify.com/.well-known/oauth-protected-resource/mcp)	https://mcp.mintlify.com	yes (https://mcp.mintlify.com/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.mintlify.com/.well-known/oauth-protected-resource"
miro	https://mcp.miro.com/mcp	401	200 (https://mcp.miro.com/.well-known/oauth-protected-resource)	https://mcp.miro.com/	yes (https://mcp.miro.com/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.miro.com/.well-known/oauth-protected-resource"
missive	https://mcp.missiveapp.com/mcp	404	200 (https://mcp.missiveapp.com/.well-known/oauth-protected-resource)	https://auth.missiveapp.com	yes (https://auth.missiveapp.com/oauth/register)	
mongodb	https://mcp.mongodb.com/mcp	401	200 (https://mcp.mongodb.com/.well-known/oauth-protected-resource)	https://authorize.mongodb.com	no	www-auth: www-authenticate: Bearer realm="mcp", resource_metadata="https://mcp.mongodb.com/.well-known/oauth-protected-resource"
montecarlo	https://integrations.getmontecarlo.com/mcp	401	200 (https://integrations.getmontecarlo.com/.well-known/oauth-protected-resource/mcp)	https://auth.getmontecarlo.com	yes (https://auth.getmontecarlo.com/oauth2/register)	
morningstar	https://mcp.morningstar.com/mcp	401	200 (https://mcp.morningstar.com/.well-known/oauth-protected-resource/mcp)	https://mcp.morningstar.com/	yes (https://mcp.morningstar.com/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication failed. The provided bearer token is invalid, expired, or no longer recognized
motherduck	https://api.motherduck.com/mcp	401	200 (https://api.motherduck.com/.well-known/oauth-protected-resource/mcp)	https://mcp-auth.motherduck.com	yes (https://mcp-auth.motherduck.com/register)	www-auth: www-authenticate: Bearer resource="https://api.motherduck.com/mcp", as_uri="https://api.motherduck.com/.well-known/oauth-protected-resource/mcp"
mural	https://mcp.mural.co/mcp	ERR	ERR	none	n/a	
mux	https://mcp.mux.com/	200	200 (https://mcp.mux.com/.well-known/oauth-protected-resource/)	https://auth.mux.com	yes (https://auth.mux.com/oauth2/register)	
navan	https://mcp.navan.com/mcp	401	200 (https://mcp.navan.com/.well-known/oauth-protected-resource/mcp)	https://login.navan.com	yes (https://login.navan.com/oidc/register)	www-auth: www-authenticate: Bearer error="invalid_token", resource_metadata="https://mcp.navan.com/.well-known/oauth-protected-resource"
netlify	https://netlify-mcp.netlify.app/mcp	401	200 (https://netlify-mcp.netlify.app/.well-known/oauth-protected-resource/mcp)	https://netlify-mcp.netlify.app/	yes (https://netlify-mcp.netlify.app/oauth-server/reg)	www-auth: www-authenticate: Bearer realm="MCP Server", resource_metadata="https://netlify-mcp.netlify.app/.well-known/oauth-protected-resource/mcp"
newrelic	https://mcp.newrelic.com/mcp	401	200 (https://mcp.newrelic.com/.well-known/oauth-protected-resource/mcp)	https://mcp.newrelic.com	yes (https://mcp.newrelic.com/register)	www-auth: www-authenticate: Bearer realm="New Relic MCP", resource_metadata="https://mcp.newrelic.com/.well-known/oauth-protected-resource", scope="openid profile email"
notion-check	https://mcp.notion.com/mcp	401	200 (https://mcp.notion.com/.well-known/oauth-protected-resource/mcp)	https://mcp.notion.com	yes (https://mcp.notion.com/register)	www-auth: www-authenticate: Bearer realm="OAuth", resource_metadata="https://mcp.notion.com/.well-known/oauth-protected-resource/mcp", error="invalid_token", error_descri
okta	https://mcp.okta.com/mcp	404	405	none	n/a	
onesignal	https://mcp.onesignal.com/mcp	404	404	none	n/a	
otter	https://mcp.otter.ai/mcp	401	200 (https://mcp.otter.ai/.well-known/oauth-protected-resource)	https://otter.ai/	yes (https://otter.ai/oauth/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication required", resource_metadata="https://mcp.otter.ai/.well-known/oauth-protected
outreach	https://api.outreach.io/mcp/	401	200 (https://api.outreach.io/.well-known/oauth-protected-resource/mcp/)	https://api.outreach.io	yes (https://api.outreach.io/mcpOAuth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://api.outreach.io/.well-known/oauth-protected-resource"
paddle	https://mcp.paddle.com/mcp	401	404	none	n/a	
pandadoc	https://mcp.pandadoc.com/mcp	404	404	none	n/a	
perplexity	https://mcp.perplexity.ai/mcp	ERR	ERR	none	n/a	
pipedrive2	https://mcp.pipedrive.com/mcp	401	401	none	n/a	
pipedrive	https://mcp.pipedrive.com/mcp	401	401	none	n/a	
pitchbook	https://premium.mcp.pitchbook.com/mcp	401	200 (https://premium.mcp.pitchbook.com/.well-known/oauth-protected-resource/mcp)	https://premium.mcp.pitchbook.com/	yes (https://premium.mcp.pitchbook.com/register)	www-auth: www-authenticate: Bearer error="invalid_token", error_description="Authentication failed. The provided bearer token is invalid, expired, or no longer recognized
pitch	https://mcp.pitch.com/mcp	401	200 (https://mcp.pitch.com/.well-known/oauth-protected-resource)	https://auth.pitch.com/	yes (https://auth.pitch.com/oidc/register)	www-auth: www-authenticate: apikey realm="key"
plaid	https://api.dashboard.plaid.com/mcp/sse	401	404	none	n/a	
plain	https://mcp.plain.com/mcp	401	200 (https://mcp.plain.com/.well-known/oauth-protected-resource)	https://signin.auth.plain.com/	yes (https://signin.auth.plain.com/oauth2/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.plain.com/.well-known/oauth-protected-resource", scope="openid offline_access", scope_mode="require_all"
planetscale	https://mcp.pscale.dev/mcp/planetscale	401	200 (https://mcp.pscale.dev/.well-known/oauth-protected-resource/mcp/planetscale)	https://mcp.pscale.dev/mcp/planetscale	yes (https://auth.planetscale.com/oauth/registration)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.pscale.dev/.well-known/oauth-protected-resource/mcp/planetscale"
planhat	https://mcp.planhat.com/mcp	ERR	ERR	none	n/a	
polar-sse	https://mcp.polar.sh/sse	404	404	none	n/a	
polar	https://mcp.polar.sh/mcp	404	404	none	n/a	
postman	https://mcp.postman.com/mcp	401	200 (https://mcp.postman.com/.well-known/oauth-protected-resource/mcp)	https://mcp.postman.com	yes (https://mcp.postman.com/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.postman.com/.well-known/oauth-protected-resource/mcp"
prisma	https://mcp.prisma.io/mcp	401	200 (https://mcp.prisma.io/.well-known/oauth-protected-resource)	https://mcp.prisma.io	yes (https://auth.prisma.io/register)	www-auth: www-authenticate: Bearer realm="https://mcp.prisma.io/.well-known/oauth-protected-resource"
productboard	https://mcp.productboard.com/mcp	401	200 (https://mcp.productboard.com/.well-known/oauth-protected-resource/mcp)	https://mcp.productboard.com	yes (https://mcp.productboard.com/oauth2/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.productboard.com/.well-known/oauth-protected-resource"
quartr	https://mcp.quartr.com/mcp	401	200 (https://mcp.quartr.com/.well-known/oauth-protected-resource/mcp)	https://mcp.quartr.com	yes (https://mcp.quartr.com/oauth/register)	www-auth: www-authenticate: Bearer realm="mcp", resource_metadata="https://mcp.quartr.com/.well-known/oauth-protected-resource/mcp", scope="mcp:tools"
quickbooks	https://ai-inc.quickbooks.intuit.com/v1/mcp	403	403	none	n/a	
ramp	https://mcp.ramp.com/mcp	401	200 (https://mcp.ramp.com/.well-known/oauth-protected-resource/mcp)	https://mcp.ramp.com	yes (https://mcp.ramp.com/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.ramp.com/.well-known/oauth-protected-resource/mcp"
razorpay	https://mcp.razorpay.com/mcp	401	404	none	n/a	www-auth: Www-Authenticate: Basic realm="Razorpay"
readme	https://mcp.readme.com/mcp	ERR	ERR	none	n/a	
render	https://mcp.render.com/mcp	401	200 (https://mcp.render.com/.well-known/oauth-protected-resource/mcp)	https://api.render.com	no	www-auth: www-authenticate: Bearer realm="https://mcp.render.com/mcp", resource_metadata="https://mcp.render.com/.well-known/oauth-protected-resource/mcp"
retool	https://mcp.retool.com/mcp	401	200 (https://mcp.retool.com/.well-known/oauth-protected-resource)	https://mcp.retool.com	yes (https://mcp.retool.com/api/oauth2/register)	www-auth: www-authenticate: Bearer realm="mcp", resource_metadata="https://mcp.retool.com/.well-known/oauth-protected-resource"
rippling2	https://mcp.rippling.com/mcp	401	403	none	n/a	www-auth: www-authenticate: Bearer realm="OAuth", resource_metadata="https://mcp.rippling.com/.well-known/oauth-protected-resource/mcp", error="invalid_token", error_desc
rippling	https://mcp.rippling.com/mcp	401	403	none	n/a	www-auth: www-authenticate: Bearer realm="OAuth", resource_metadata="https://mcp.rippling.com/.well-known/oauth-protected-resource/mcp", error="invalid_token", error_desc
rootly	https://mcp.rootly.com/sse	401	200 (https://mcp.rootly.com/.well-known/oauth-protected-resource/sse)	https://rootly.com	yes (https://rootly.com/oauth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.rootly.com/.well-known/oauth-protected-resource"
salesforce	https://mcp.salesforce.com/mcp	ERR	ERR	none	n/a	
salesloft	https://mcp.salesloft.com/mcp	401	200 (https://mcp.salesloft.com/.well-known/oauth-protected-resource)	https://mcp.salesloft.com	yes (https://mcp.salesloft.com/auth/register)	www-auth: www-authenticate: Bearer resource_metadata="https://mcp.salesloft.com/.well-known/oauth-protected-resource"
